,Question,Answer
508,What is a Repeat Payment,"
A repeat payment permits a merchant to debit your M-PESA wallet for regularly payments e.g., subscription services such as NETFLIX. Repeat payments need customer authorization (shown in the How-To description below, Part IX)

"
509,Do you need to put your PIN for repeat payments to go through?.,"
No. Once you input your card in a merchant website for any subscription services and enabled repeat payments, the payments will not require you to enter your M-PESA PIN in the next billing cycle, as funds will automatically be deducted from the M-PESA account . Customers are advised to ensure that they keep their card number, validity period and CVV details as securely and privately to avoid anyone else from using their card details for subscription services, as they would end up being deducted.

"
510,What happens if I dispute a payment that has been made?,"
All disputes must first be followed up with the respective Merchant, and if you do not receive any response within 7 days from the time the transaction was done, then you can follow up on the same with Safaricom. The customer is expected to follow the cancellation and refund policies of the merchant before raising any dispute.

"
511,What happens if I dispute a payment that has been made?,"
Should you fail to reach an amicable agreement with the participating retailer, you may contact Customer Care or visit our retail shops or access the dispute resolution form that is published on the Safaricom website to lodge a dispute. On receipt of a duly filled dispute form, we will contact Visa for resolution. The expected timelines of resolution of a dispute depends on the dispute as will be determined by Safaricom and Visa. If the dispute is because of transaction authorization error, Safaricom will resolve the dispute within 72 hours. However, if the dispute is between you and the participating Retailer, the maximum resolution time is forty-five (45) working days. Raise a dispute process (shown in the How-To description below, XIII)

"
512,What happens if I experience a double deduction from my virtual card?,"
Where double deductions occur, the merchant usually refund a payment within 72 HRS. However, if you do not receive any refund within 72 hours, you should follow up with the Merchant directly via the link/email they have provided in their website. If no assistance is received after 7 days, you can then raise a dispute to Safaricom via the Dispute Form for further assistance.

"
513,Who should I follow up with if I have a pending Reversal?,"
All follow-ups for pending reversals should be followed up with the respective Merchant from where the payment was made. You can fill up the escalation form that the merchant has provided in their online platform. Please note; escalations done via the merchants have a shorter SLA (Service Level Agreement), compared to raising it through Safaricom which will take 45 days.

"
514,What are the charges for this service?,"
The customer will not be charged to make payments for online purchase from global merchant sites. However, a forex markup of 3.5% applies on the prevailing forex rate of the billing currency at the time of purchase.

"
515,What is the cost estimator feature?,"
This is a feature which displays to the customer an estimate of the final cost. The actual cost is affected by the dynamic changes in foreign exchange rates.

"
516,How-To on USSD and M-PESA App,"
I. Activate the M-PESA GlobalPay Service
On M-PESA App:
On M-PESA USSD (*334#):
II.View M-PESA GlobalPay details
ON M-PESA APP:
On M-PESA USSD (*334#):

III.Generate CVV
On M-PESA App:
On M-PESA USSD (*334#):
IV.Suspend Card
ON M-PESA APP:
ON USSD
V.Unsuspend Card
ON M-PESA APP:
ON USSD
VI.Cancel card
ON M-PESA APP:
ON USSD
VII.Mini-statement
ON M-PESA APP:
ON USSD
You will receive an SMS notification with the last 5 transactions done on the
VIII.Enabling Repeat Payments
ON M-PESA APP:
You will receive a notification confirming successful enablement of Repeat
ON M-PESA USSD:
IX. Disabling Repeat Payments
ON M-PESA APP:
You will receive an SMS notification with a confirmation of repeat payments.
ON M-PESA USSD:
You will receive an SMS notification with a confirmation on disabling recurring payments
X. Manage Card – Monthly Budget
ON M-PESA APP:
On the M-PESA GlobalPay page, you will be able to view the amount used so far, from your set monthly budget.
ON M-PESA USSD:
Message Received – Dear customer, you have successfully enabled spend limit controls with a threshold of Kes. XXXX for the M-PESA GlobalPay service. You will receive a notification once you reach the limit
XI. Check Monthly Budget Usage Status.
ON M-PESA APP:
ON M-PESA USSD:
Message Received – Dear customer, your usage as at DD/MM/YYY is Ksh XX, XXXX. Your current limit is Ksh XX, XXX.
XII. Opt Out
ON M-PESA APP:
ON M-PESA USSD:
XIII. Raise a Dispute
ON M-PESA APP:
ON M-PESA USSD:
Log in to your M-PESA
Select the Grow
Select the GlobalPay tab, to activate your M-PESA
Select your card
Enter PIN
You will receive an SMS with the card number and expiry
"
517,How do I get assistance?,"
For any queries, dial 100 for prepaid customers, and 200 for postpaid customers.
For M-PESA-related queries, please dial 234 for assistance.
Visit our Retail Centers /Care desks,
Access our social media handles; Twitter – @Safaricom_Care and @SafaricomPLC, Facebook - www.facebook.com/SafaricomPLC

"
518,What is M-PESA GO?,"
This is a product specifically designed for children below 18 years (10-17 years) to enable them to use specific M-PESA services independently.

"
519,How does M-PESA GO registration happen?,"
Registration can happen:


Independently by the parent, through an online onboarding portal - https://safaricom.com/mpesa-go (for parents with lines already being used by their children).
By visiting any Safaricom shop/agent - buy a line and child gets directly registered on M-PESA GO.
"
520,"As a parent, what documentation do I need to onboard my child onto M-PESA GO?","
You may register your child on M-PESA GO, using a clear copy of their birth certificate or passport. These can be uploaded onto the self-onboarding portal. (https://safaricom.com/mpesa-go).

"
521,"As a parent, do I need to visit any Safaricom shop with my 10 – 17year old in order to register them for M-PESA GO?","
No, you don’t have to.
However, you must present an original copy of the child’s Birth Certificate/passport, where registration is done at the shop.

"
522,How many M-PESA GO Accounts can I register under my profile as a parent?,"
You can have up to four (4) M-PESA GO accounts under your M-PESA profile.

"
523,"If I have a line already registered to the Safaricom network, but it is not registered on M-PESA, how will I register it on M-PESA GO?","
In this case,  you will visit a Safaricom Shop where the line will be registered directly on M-PESA GO for your child.
You will need to have the child’s birth certificate or passport.

"
524,"If I buy a new line, can I register it directly on M-PESA Go at a Safaricom shop?","
This will be done exclusively at a Safaricom shop.
The new line will first be registered on the Safaricom network using your (the parent’s) information (name, ID/Passport, Date of birth) and on then the M-PESA GO account is added while capturing your child’s details – name, date of birth.

"
525,"If I have a line(s) registered on M-PESA already, how will I move it/convert to M-PESA Go?","
You can convert the line to M-PESA GO by logging on to the self-onboarding portal -  https://safaricom.com/mpesa-go
As a parent, you will verify your identification details (name and ID/Passport number) and then provide the child’s details (name and Date of birth) that you wish to convert to M-PESA GO.

"
526,"After registering my child’s M-PESA GO account on the self-onboarding portal, how will I be able to see it on my profile?","
To check the M-PESA GO accounts on your profile:

Dial *334# > My Account > Manage Junior Account > Manage Junior Account Relationship>View Junior Account List.
"
527,"If a line I wish to convert to an M-PESA GO account has a loan and savings product (Mshwari, KCB M-PESA, Halal PESA, FULIZA) can I still register it on M-PESA GO?","
Yes, you can.
However, if you have an outstanding loan or savings, you must repay it and transfer/withdraw your savings before proceeding.
During the conversion process here -  https://safaricom.com/mpesa-go you will be asked to consent to any of these accounts being closed.

"
528,Which channels can a child use to transact on M-PESA GO?,"
The M-PESA GO customer will transact using:

The M-PESA APP – i.e. this will be the M-PESA Go version with limited features. (https://bit.ly/mpesago)
The STK (Sim Tool Kit)
"
529,Which services will my child be able to access on M-PESA GO?,"
You can enable and disable these services on your child’s M-PESA GO account:

Send and receive money services.
Lipa na M-PESA Paybill and Merchant Payments.
Buy Airtime
Buy Bundles
My Account services.
"
530,Are there services that my child will not be able to access on M-PESA GO?,"
Yes. M-PESA GO customers (children) may not access the following services:

Any payments to all betting companies.
All loans and saving products – e.g. Mshwari, KCB M-PESA and Fuliza.
The Withdraw Cash – which requires an ID number to be shown.
All Payments to political parties.
"
531,Will my child’s M-PESA GO Account have varying transaction limits?,"
No. Normal M-PESA account transactional limits and charges will apply for all M-PESA GO children accounts.

"
532,"As a parent, what options are available, to manage my child’s account?","
As a parent, you will dial *334# on your handset where you will get the following options.
Manage services
·       Enable or Disable services such as send money, buy airtime, lipa na M-PESA from your child’s account.
Manage Junior Relationships
·       Add / Remove any junior Accounts and view all children under your profile.
View Junior Account Info
·       View M-PESA GO account balance or mini statements.

"
533,Can my child using an M-PESA GO account request for a sim swap?,"
No. Only you as the parent/guardian can call Safaricom customer care on behalf of the M-PESA GO customer to request for a sim swap. Your KYC details will be used for the vetting process.

"
534,"In case of a reversal request on my child’s M-PESA GO account, whose consent will be required?","
For all reversal requests you as the parent will be required to give consent, since the M-PESA GO customer is under the age of 18.

"
535,"For any support or product queries, how will my child be assisted?","
Your child can access Safaricom Customer Care on Line 100 or Line 200 for GSM related issues and Line 234 for all M-PESA related issues on their account.

However, for all requests about the M-PESA GO account – e.g. reversal, sim swaps, etc – you as the parent must give your consent.
"
536,What is Merchant and Paybill Interoperability Service,"This is a joint project between Safaricom, Airtel and Telkom that will allow all customers to pay for goods and services at any merchant outlet regardless of which network they operate on - Safaricom, Airtel and Telkom T-Kash merchants. • This means for example, that a Safaricom M-PESA customer will be able to pay for goods and services from an Airtel money or Telkom T-Kash merchant.
"
537,What are the benefits of this service?,"The service will offer the following benefits to customers and merchants.
Quick and simple access and payments from any network.
Merchants to receive payments from a wider customer base.
"
538,Who is the target of this service?,"This service targets Airtel and Telkom mobile money customers paying Safaricom Lipa na M-PESA merchants i.e., Paybill organizations and Business Till merchants.
"
539,What are the minimum and maximum amounts that an M-PESA merchant can receive from Airtel or Telcom customers?,"The maximum amount payable to an M-PESA merchant is KSh. 150,000.00, the minimum amount payable to an M-PESA merchant is KSh 1.00
"
540,How will the Airtel/ Telkom customer make payment to Lipa Na M-PESA Buy Goods merchant?,"This service will enable Telcom and Airtel customers to make payments to Lipa Na M-PESA Buy Goods till.
Airtel customers will have to be registered on Airtel Money and follow the steps below.
Telkom customers will have to be registered on Telkom T-Kash and follow the steps below.
Dial *222# from the Airtel Money registered mobile number.
Select Lipa Na Airtel Money.
Select Buy Goods.
Select M-PESA Till.
Enter M-PESA Till number.
Enter Amount (Maximum amount KSh150,000)
Enter PIN
The customer receives the notification of the transaction status.
"
541,How will the Airtel/ Telcom customers make payments to Lipa Na M-PESA Paybill organization?,"This service will enable Telcom and Airtel customers to make payments to Lipa Na M-PESA Paybill organizations.
Airtel customers will have to be registered on Airtel Money and follow the steps below.
Telkom customers will have to be registered on Telkom T-Kash and follow the steps below.
Dial *222# from the Airtel Money registered mobile number.
Select Lipa Na Airtel Money.
Select Buy Goods.
Select M-PESA Till.
Enter M-PESA Till number.
Enter Amount (Maximum amount KSh150,000)
Enter PIN
The customer receives the notification of the transaction status.
"
542,What are the charges for Airtel/ Telcom customers making payments to Lipa Na M-PESA Buy Goods merchants?,"The following will be the charges for the customer payment to Buy Goods Till transactions.
Service
Charges on merchant
Charges on Telkom and Airtel customer
Charges on Safaricom customer
Payment to merchants charged (0.5%)
Merchant is charged 0.5% per transaction (charge should not exceed 200)
Free for customers
Free for customers
Payment to fuel merchants
Free for merchants
Free for customers
Customer is charged 0.5% per transaction (charge should not exceed 200)
"
543,What are the charges for Airtel/ Telcom customers making payments to Lipa Na M-PESA Paybill organizations?,"Telcom and Airtel customers will be charged as below table for the transaction to the Lipa Na M-PESA Paybills.
Transaction band
Airtel/Telcom Customer to Standard Tariff
Min
Max
1
49
0
50
100
0
101
500
4
501
1,000
9
1,001
1,500
14
1,501
2,500
19
2,501
3,500
24
3,501
5,000
33
5,001
7,500
40
7,501
10,000
46
10,001
15,000
55
15,001
20,000
60
20,001
25,000
65
25,001
30,000
70
30,001
35,000
80
35,001
40,000
96
40,001
45,000
100
45,001
50,000
105
50,001
70,000
105
70,001
150,000
105
"
544,"Will the notification to Lipa na M-PESA merchants change, after transactions from customers on other networks?","No, Lipa na M-PESA merchants will receive the same message from M-PESA indicating the transaction ID, details of the customer, amount transacted, transaction cost, and the new merchant balance.
"
545,How will customers from Airtel and Telkom request a reversal in case of an erroneous transaction?,"Customers will call their respective mobile network provider to request a reversal. e.g., An Airtel customer paying at a Safaricom Lipa na M-PESA will call Airtel to request a reversal. Airtel/Telkom will credit respective customers’ accounts.
"
546,Will customers from other networks be able to forward reversal requests to 456?,"No, customers will not forward the transaction messages to 456 to request a reversal. This service is reserved for Safaricom M-PESA customers only. The Airtel and Telcom customer will only request for the reversal by calling their respective mobile network providers.
"
547,Who do customers contact for support?,"Customers shall contact their respective service providers directly for all support functions i.e., Airtel customer care and Telcom customer care.
"
548,What is M-PESA Business APP?,"
M-PESA for Business App allows you to have better visibility of your business, enabling you view your collections and payments, see full statements and transact directly from your M-PESA Business till using the app. Its an alternative to the USSD service *234# Option 2.

"
549,How can I log in to another till I have on this same App?,"
While on the log in page, Tap on the arrow pointing down or Tap Change Account.
▪ If you are logged in, go to Account and then Tap Switch Accounts.
▪ Tap on Add Account. You will be redirected to the sign in page.
▪ Select Sign In>Accept Terms and Conditions>Enter the second till or store number and follow the prompts to the end.

"
550,What is that Balance at the Top?,"
That is the current balance on your account. Every time you log in it refreshes; you can also touch anywhere on the transactions page and pull down to refresh.

"
551,What does the Chart show me?,"
The chart helps you compare your performance trend over time helping you know if your business transactions are growing or slowing down, as you scroll the chart will show you the various values for each day.

"
552,What is the purpose of the Money In and Money Out Menu?,"
Money In shows you the money received on your till over time, you can back 6 months. Money Out shows you the money paid our from your till over time, you can back 6 months.

"
553,How can I refresh the transactions?,"
Touch anywhere on the transactions and pull down to refresh the transactions. Every time you log in or switch between the Money In and Money Out, it refreshes the records.

"
554,How can I view more information of a transaction?,"
Tap on the transaction and it will open more details for you to view.The refunded Safaricom Guarantee Talktime will only be valid for 7 days from the time of refund.

"
555,What is the purpose of the Operators menu?,"
Operators Menu shows you the operators in your organization. The Business owner is the Primary Operator and the rest are Assistant Operators.

"
556,What functions can an Assistant Operator Perform?,"

Initiate Withdrawals to the Owner’s M-PESA Account
"
557,How can I add an Assistant Operator?,"

Tap the Operators Menu
Tap Add New Operator
Key in the details of the new Operator and select Continue
Confirm the details, enter your PIN and submit
"
558,How can the new Assistant Operator Created Log In?,"
The new Assistant Operator will receive their Operator ID and Start PIN via SMS from M-PESA. They can then download and install the App on their number as created and Log in with the details received. Agent.

"
559,What is the difference between Favorites and Frequents?,"

Favorites enables you to manually save recipient pay bills, Tills or mobile numbers in order to make it easier for your when making future.
"
560,"How Can I Manage my Favorites like adding, editing or removing?","
Tap on Account>Select Manage Favorites> You can then Add, View, Edit or remove a favorite account you had saved.

"
561,How Can I Search for a transaction?,"
When logged in, Tap on the magnifying lens Icon on the top left>Type in the transaction ID or scroll through the transactions.

"
562,How far back do the transaction statements go?,"
They go back 6 months from the current date you are checking.

"
563,How can I export the statements for my store?,"
Tap on Transact>Select Export Statements>You can filter by transaction or Select All Transactions> Select the Start Date and End Date for the Statement you are requesting for then Submit. The Statement will automatically download on your phone. You can then save the attachment with a name you wish and even share the file.

"
564,"I am logged in to Head office account and I have multiple stores, how can I export the statements for a specific store?","
Tap on Organization>Select Stores>Search and select the Store>It will open the store details>Tap on Statements>Then Tap on the Download Image Icon on your Top right.

"
565,What is the purpose of the Roll Up Menu?,"
This enables an organization with multiple stores to Roll Up/Move Up funds from a store account to the Head office account in order to either make payments or withdraw funds.

"
566,What is the difference between the Roll Up All Stores and Roll Up One Store?,"
Roll Up All stores is done when logged in to the Head Office Account. It enables one Roll Up (Pull) funds from all the stores under that head office into the head office Account.
Roll Up One store can be done from the head office or from the store. It you to Roll Up (Push) funds from one specific stores under that head office into the head office Account.

"
567,"My Organization has multiple stores, how do I withdraw the funds?","
Once you Log in>Tap on Roll Up All stores, follow the prompts insert your PIN and Submit. The request will be processed between 2 – 3 minutes. Please wait for a confirmation SMS before retrying. The funds will be rolled up to the Head office Account. You will receive an SMS.  Then Tap on the Withdraw Menu and you can Withdraw to Owner, From Agent or to Bank.

"
568,I want to add a bank account to my till in order to withdraw to Bank. How can I have it?,"
Contact customer care on 100 or via email M-PESABusiness@safaricom.co.ke or lipanampesa@safaricom.co.ke for guidance in adding a bank account to your till to withdrawal to bank.

"
569,How can I contact support in case of any queries?,"
Existing merchant support channels apply. (100 or via email M-PESABusiness@safaricom.co.ke or lipanampesa@safaricom.co.ke).

"
570,My Assistant Operator has Forgotten their PIN How do I help them?,"
Tap on Operators, Select the Operator>Tap on Reset PIN, they will then receive an SMS from M-PESA with their New PIN. Request them to then go to the Change PIN Menu and use the Start PIN received as Current PIN

"
571,How I Suspend or Remove an Assistant Operator from my account?,"
Tap on Operators, Select the Operator>Tap on either Suspend or Remove an Operator. If the Operator is in a store, then Tap on Organization>Tap the Store>, Select the Operator>Tap on either Suspend or Remove an Operator.

"
572,"I have forgotten my PIN, what do I do?","
Visit the nearest Safaricom retail shop with a copy of your ID for the PIN to be reset.

"
573,"My PIN has been Reset, how do I change the Pin and Log In?","
On the Log in Page>Tap on the Change PIN Menu> Enter the Start PIN received as Current PIN>Create a new PIN and complete the process.

"
574,I am unable to Download/Install the App,"

Ensure WIFI is turned off and connect to mobile data for first-time sign in (This is during the first time only for secure log in). after first time sign in you can use WIFI thereafter.
"
575,I am Unable to see charts,"
Either No transaction done or there is a system issue (M-PESA). Please contact Support on 100.

"
576,"Am getting error “Turn mobile data on. For a secure log in, please switch off wifi and connect your mobile data”","
The user needs to turn of Wi-Fi and use mobile data for a secure log in. This will only happen the first time they log into the app. They can continue using Wi-Fi to access the app after that

"
577,Am getting error “Insert SIM card. The SIM card you are currently using doesn’t match with this account. Please insert the correct SIM card and try again later”,"
The user can only access the app on the phone with their nominated number SIM card. If this is not the case, they either need to insert the SIM card or install and access the app on the phone with their nominated number

"
578,Am getting error “Business product is not supported”,"

User needs to have the service enabled on the till. Contact Customer care 100 or via email M-PESABusiness@safaricom.co.ke and request for the M-PESA Business Till Product to be added to your Till
"
579,Am getting error “Access Denied. We found suspicious files which many compromise your security within M-PESA. For your safety we locked the application to prevent further use until you are secure again”,"
The user is accessing the app from a rooted device which raises security concerns for accepting the app. The user can try accessing the app using a different handset.

"
580,What is the Back to School with Lipa na M-PESA Campaign?,"
This is a campaign that will target M-PESA customers (parents) who will use Lipa na M-PESA (Buy goods + Paybill options) to pay for goods and/or services at selected retail outlets.

M-PESA customers will get a cashback for purchases made via Lipa na M-PESA.
Customers will get the cashback amount for purchases above Ksh 1,000.
"
581,How long will the campaign run?,"
The campaign will run from 28th Dec 2020 to 3rd Jan 2021.

"
582,How will M-PESA customers be rewarded??,"
Sample message:
Congratulations! You have received Ksh. 123 from the M-PESA Back to School Campaign on 29/12/20 at 11: 11PM. Dial the new M-PESA *334# to send money.

Customers will get a 3% cash back of their total bill, for purchases above Ksh 1,000.
The cash back amount will be credited to their M-PESA accounts after successful payment.
The cashback will be capped at Ksh 300.
"
583,Will the cash back be immediate?,"
Yes, the cash back will be credited to the customers M-PESA account immediately a successful payment is made.

"
584,Which outlets will be participating in the campaign?,"
The following select outlets countrywide, will be participating:

Over 1,000 stores countrywide

Supermarkets - Naivas, Tuskys, Carrefour, Quickmatt, Eastmatt, Chandarana, Cleanshelf and many more.
Bookshops – Text book centre branches
Shoe shops - Bata stores
Uniform distributors
Supermarkets - Naivas, Tuskys, Carrefour, Quickmatt, Eastmatt, Chandarana, Cleanshelf and many more.
Bookshops – Text book centre branches
Shoe shops - Bata stores
Uniform distributors
Select regional business outlets
"
585,In case of a reversal will the cash back amount also be reversed?,"
Yes, in the event of a reversal, the cash back will also be reversed.

"
586,Who can customers contact in case of any issue with their cash back amount?,"
In case of any customer issue about the cash back, customers can call Line 234, Line 100 or Line 200.  Customers can also use the Safaricom social media channels for additional assistance.

"
587,What is KCB M-PESA?,"
KCB M-PESA is a loans and savings product exclusively offered by KCB Bank Kenya Ltd to Safaricom M-PESA customers.

"
588,What are the requirements to have a KCB M-PESA account?,"
Be a registered and active Safaricom M-PESA customer.

"
589,How do I deposit or withdraw money into or out of the KCB M-PESA Account?,"
Money in and out of the KCB M-PESA Account is available through M-PESA.
To deposit from M-PESA
To withdraw to M-PESA

Access the KCB M-PESA menu.
Select Deposit from M-PESA.
Enter the amount.
Enter your M-PESA PIN.
Confirm you want to deposit.
Your M-PESA will be deducted, and your KCB M-PESA Account credited with the amount
"
590,How do I check my KCB M-PESA account balance?,"

Access the KCB M-PESA menu
Select My Account
You can check your account balance or request for a Mini Statement.
"
591,How do I check my KCB M-PESA loan limit?,"

Go to M-PESA menu
Select Loans and Savings
Select KCB M-PESA
Select Loan
Select Check Loan Limit.
"
592,What is the fee charged on a KCB M-PESA loan?,"
The cost for the one month loan is 7.35%.

"
593,How do I borrow a KCB M-PESA loan?,"

Go to M-PESA menu
Select Loans and Savings
Select KCB M-PESA
Select Request Loan
Enter Amount & follow prompts to complete
"
594,How do I pay my KCB M-PESA loa,"
2. Using M-PESA Paybill 522559
Enter amount & follow prompts to complete

Go to M-PESA menu
Select Loans and Savings
Select KCB M-PESA
Select Pay Loan
Select to pay from M-PESA or from your KCB M-PESA Account
Enter amount & follow prompts to complete.
"
595,I cannot access a KCB M-PESA loan. What are some of the reasons for this?,"

You have been listed with the Credit Reference Bureau.
You already have an existing KCB M-PESA loan.
You have a low credit rating.
Late repayment of a previous loan thus you have been blacklisted.
"
596,How do I grow my loan limit?,"

Increase activity on your KCB M-PESA account by moving money in and out of your account.
Increase savings on your KCB M-PESA account.
Increase usage of M-PESA services.
Early and prompt repayment of KCB M-PESA loans
"
597,How do I access KCB M-PESA savings?,"

Go to M-PESA menu
Select Loans and Savings,
Select KCB M-PESA,
Select Fixed Savings account,
Select Fixed Deposit or Target Savings Account
"
598,Which Savings accounts are available on KCB M-PESA?,"
There are two Savings accounts available on KCB M-PESA
M-PESA Fixed savings account - This account allows you to lock a specific amount of cash for a period of up to 12 months.
M-PESA Target savings account - This account allows you to set a target and make deposits toward achieving that target for a period of up to 12 months.
"
599,How do I open a KCB M-PESA Fixed Savings account?,"

Go to M-PESA menu
Select Loans and Savings, KCB M-PESA
Select Fixed Savings Account
Select Fixed deposit
Open Account
Select the source of funds;
M-PESA
KCB M-PESA
Enter amount (minimum amount needs to be Kshs.500 and above)
Enter period (1 up to 12 months)
Enter M-PESA PIN and complete the transaction
"
600,How do I open a KCB M-PESA Target Savings account?,"

Go to M-PESA menu
Select Loans and Savings
Select KCB M-PESA
Select Fixed Savings Account
Select Target Savings Account
Select Open Account
Select source of funds;

M-PESA
KCB M-PESA
M-PESA
KCB M-PESA
Enter Target amount you intend to save for the period (minimum amount is Kshs.1,000)
Enter period (1 up to 12 months)
Enter initial deposit amount (not less than Kshs.50)
Enter M-PESA PIN and complete the transaction
"
601,Is there a cost for opening Fixed or Target Savings account?,"
No. Opening is free.

"
602,How much can I start saving on my Target Savings account?,"
Upon successful opt-in, the minimum amount to begin saving is Kshs.50, thereafter you can save with any amount you desire. Once you have deposited the savings amount into the account, you will receive an SMS acknowledging the amount you have saved and period chosen.  ***for savings exceeding Kshs. 250,000.00, a customer will be requested to visit any KCB branch to submit further documentation for identification purposes.

"
603,How will I know that money in my savings account has matured?,"
At the end of the period, an SMS will be sent to you from KCB M-PESA informing you of the maturity, the amount saved plus interest earned

"
604,Can I withdraw my funds before the maturity date?,"
Yes, you can access your funds before the end of the period. Target savings can be unlocked anytime except;

"
605,How much interest do I earn on my savings?,"
Money saved in the Target and Fixed Savings accounts earn interest at 6.3% p.a.

"
606,Do I earn interest when I withdraw my savings before maturity?,"
For Target Savings you earn accrued interest up to the date of withdrawal however for Fixed Savings you forfeit the interest.

"
607,How do I check my saved amount?,"
To track progress of your savings;

Go to M-PESA Menu
Select Loans and Savings
Select KCB M-PESA
Select My Account
Select Check Balance
Enter M-PESA PIN and submit
"
608,Can I save with KCB M-PESA if I am listed on Credit Reference Bureau (CRB)?,"
Yes. If you are listed on CRB you can save with KCB M-PESA.

"
609,Where can I get more information about KCB M-PESA?,"

Call 0711 087000 or 0732 187000
WhatsApp 0711 087087
Access the KCB Bank website kcbgroup.com or Safaricom website www.safaricom.co.ke
Visit your nearest KCB Bank branch in Kenya
"
610,What is the Black Friday with Lipa na M-PESA campaign?,"
The campaign seeks to reward M-PESA customers with an incentive.  Customers will get an automatic cash back for using M-PESA (Buy Goods option) to pay for goods and services at participating malls and outlets.

"
611,When will the campaign run?,"
The campaign will only be valid on 27th November 2020.

"
612,How will customers be rewarded?,"
M-PESA customers will receive a 5% cash back of their total spend value, which will be credited to their M-PESA accounts.  For amounts over Ksh 20,000, customers will receive an automatic Ksh 1,000 cash back.

"
613,Will customers have to wait for the cash back inventive after paying?,"
No. customers will receive their cash back immediately after completing their payment using Lipa na M-PESA – Buy Goods option.

"
614,How will customers receive the cash back?,"
Customers will receive a cash back from the number 543276 – Lipa Na M-PESA Cashback. Sample message below:

Congratulations! You have received Ksh. 123 from the M-PESA Black Friday Cashback Campaign on 27/11/20 at 11: 11pmPM.
Dial the new M-PESA *334# to send money.


Customers will also receive a notification from Safaricom, confirming the cash back inventive.
"
615,What are the participating malls and outlets?,"
The discount applies to select outlets in the following 13 malls:
Capital Centre
Two Rivers Mall
T-Mall
The Mall Westlands
Greenspan Mall
Diamond Plaza
Adlife Plaza
Highway Mall
Nextgen Mall
Lavington Mall
The Hub Karen
Rosslyn Riviera
Galleria Mall
Sarit Centre

"
616,"In case of any reversal, will the cash back amount also be reversed?","
Should there be a reversal, the cash back amount will also be reversed.

"
617,Who can customers contact in case of any issue with their cash back amount?,"
In case of any customer issue about the cash back, customers can call Line 234, Line 100 or Line 200. Customers can also use the Safaricom social media channels for additional assistance.

"
618,What is the M-PESA Jumia discount campaign?,"
This is a one-month campaign that seeks to reward customers with a 5% discount when they shop and pay for goods via M-PESA on Jumia.

"
619,How long will the campaign run?,"
The campaign will run from 02/11/2020 - for 6 weeks.

"
620,Which merchants will participate in the campaign?,"
All purchases worth over Ksh 1,000 and paid for using M-PESA from Jumia Mall and Jumia Food qualify for the 5% discount

"
621,Will Physical stores be participating in the discount campaign?,"
No. The discount campaign targets M-PESA customers who shop online. Purchases made in physical outlets and supermarkets do not qualify..

"
622,How will M-PESA customers be awarded during the campaign period?,"
M-PESA customers will benefit from a 5% discount on transactions worth more than Ksh 1,000 - capped at Ksh 250 per transaction.

"
623,Will customers get a 5% discount each time they shop?,"
No, customers will get a discount only on their first 3 M-PESA transactions worth over Ksh 1,000.

"
624,Who is the target of this campaign?,"
The campaign targets M-PESA registered customers to encourage them to use mobile money during the Covid-19 period.

"
625,Will customers stand a chance to win any physical prizes?,"
There will be no physical prizes to be won.

"
626,Will customers all over the country benefit from the 1-month discount campaign?,"
Yes, the campaign will cover M-PESA customers countrywide.

"
627,How will customers know they have received any discount amount?,"
The 5% discount will be automatically applied to a customer’s total bill on the checkout stage – the final amount, less the discount is what the customer will finally pay.  The customer will receive the usual M-PESA confirmation message.

"
628,"In case of any arising issues, who can customers call?","
For any M-PESA account related queries, customers can call line 234, 200, or 200. Or use any of the Safaricom online support channels.

"
629,What is Pochi la Biashara?,"
This is a product that allows M-PESA to register customers who own informal businesses such as: food vendors, kiosk owners, boda-boda operators, secondhand clothes dealers among others, to receive and separate business funds from personal funds on their M-PESA number.
Which channels are used by customers to pay to Pochi la Biashara?
"
630,Which channels are used by customers to pay to Pochi la Biashara?,"
Customers can pay to Pochi merchant using.

M-PESA App
USSD *334#
Safaricom Toolkit Menu (STK)
"
631,Will the Pochi merchant be issued with a new SIM card or till number?,"
No new mobile number or till will be issued. Pochi la Biashara will be activated on the existing SIM card that is registered n M-PESA. It will therefore use the same mobile number as M-PESA.
How much money can the Pochi la Biashara account hold?
"
632,How much money can the Pochi la Biashara account hold?,"
Since the M-PESA and Pochi accounts are on the same SIM card, the two accounts will share the allowed maximum balance limit of KSh 300,000. Therefore, in total, the balance in the M-PESA and Pochi accounts cannot exceed KSh. 300,000.

"
633,What are the transaction value limits for Pochi la Biashara?,"
Normal M-PESA limits of KSh 150,000 per transaction and KSh 300,000 per day apply.

"
634,How do customers make payments to Pochi la Biashara merchants?,"
The customers can use the following procedures to make payments to Pochi la Biashara merchant.
On M-PESA App
On *334# menu
SIM Toolkit (Safaricom) Menu
Important to note:  Customers who do not have the refreshed menu on M-PESA can refresh the M-PESA menu by:
OR
Replace SIM cards at the nearest Safaricom Retail Shop or Care Desks– if they have the old SIM cards

Log into the M-PESA App
Select Pochi la Biashara.
Enter the Pochi Mobile Number
Enter Amount to pay.
Enter M-PESA PIN
"
635,Which channels are used to access Pochi la Biashara by business owners?,"
The service is accessed through:
Currently on the M-PESA App the merchants can access a few services which includes.

M-PESA App.
USSD, *334#
"
